"Date","Open","High","Low","Close","Volume"
"05/23/2025","108.085","111.015","107.6671","110.31","30,867,270"
"05/22/2025","111.9","112.64","110.61","110.71","29,251,960"
"05/21/2025","113.85","116.1","111.09","112.06","43,594,610"
"05/20/2025","114.35","114.51","112.08","113.51","29,030,820"
"05/19/2025","115.015","115.53","114.06","114.74","37,737,370"
"05/16/2025","118.07","118.24","116.01","117.17","43,419,700"
"05/15/2025","117.02","117.5","114.01","114.99","43,843,240"
"05/14/2025","119.83","122.52","116.59","117.72","86,743,700"
"05/13/2025","109.6","113.1277","109","112.46","55,659,510"
"05/12/2025","110.415","110.667","106.98","108.12","50,543,400"
"05/09/2025","102.585","103.54","101.6","102.84","31,704,260"
"05/08/2025","101.92","105.44","101.56","101.7","54,231,360"
"05/07/2025","100.75","103.42","96.88","100.36","86,648,750"
"05/06/2025","98.41","100.07","97.44","98.62","54,264,250"
"05/05/2025","99","102.05","98.76","100.59","41,268,890"
"05/02/2025","98.4","99.88","98.3","98.8","29,957,890"
"05/01/2025","99.265","100.1","96.45","96.65","29,591,510"
"04/30/2025","92.81","97.55","91.87","97.35","29,730,730"
"04/29/2025","95.755","97.1767","95.33","96.06","20,700,640"
"04/28/2025","95.575","97.4865","94.27","96.39","30,456,680"
"04/25/2025","93.275","97.1","92.85","96.645","28,575,340"
"04/24/2025","91.59","94.75","90.37","94.47","33,681,920"
"04/23/2025","91.875","93.74","90.12","90.39","41,102,590"
"04/22/2025","86.12","87.17","85.17","86.26","35,236,740"
"04/21/2025","86.015","86.14","83.75","85.56","33,855,390"
"04/17/2025","88.84","89.03","86.515","87.5","34,801,440"
"04/16/2025","87.61","90.47","85.295","88.29","62,109,020"
"04/15/2025","94.66","96.85","94.62","95.29","28,116,540"
"04/14/2025","97.11","97.3699","93.45","94.5","36,002,970"
"04/11/2025","90.51","94.76","90.5","93.4","57,892,600"
"04/10/2025","91","92.95","85.06","88.7","65,210,570"
"04/09/2025","79.22","97.91","78.87","96.84","97,827,350"
"04/08/2025","86.145","88.93","76.48","78.21","69,910,230"
"04/07/2025","80.68","89","77.75","83.64","70,515,430"
"04/04/2025","90.1","91.08","83.67","85.76","65,847,020"
"04/03/2025","97.79","99.4499","93.64","93.8","50,472,540"
"04/02/2025","101.52","104.185","100.76","102.96","20,793,990"
"04/01/2025","102.16","102.83","100.93","102.78","23,523,230"
"03/31/2025","100.235","102.82","98.8","102.74","30,865,340"
"03/28/2025","105.525","106.51","102.48","103.22","31,069,110"
"03/27/2025","106.11","107.62","105.5499","106.65","32,773,710"
"03/26/2025","114.11","115.8999","108.68","110.19","39,976,490"
"03/25/2025","113.265","114.95","112.71","114.81","29,077,510"
"03/24/2025","109.73","114.85","109.4","113.85","53,342,000"
"03/21/2025","105.33","107.25","104.33","106.44","30,767,940"
"03/20/2025","105.12","108.26","105.12","107.14","26,871,840"
"03/19/2025","104.42","107.9","101.96","106.23","32,287,500"
"03/18/2025","103.85","104.55","102.97","103.51","27,152,830"
"03/17/2025","102.6","106.15","102.6","104.59","43,689,520"
"03/14/2025","99.64","101.22","99.58","100.97","24,715,270"
"03/13/2025","99.715","100.07","97.27","98.11","28,575,150"
"03/12/2025","99.045","101.715","98.17","100.79","34,241,290"
"03/11/2025","96.79","98.1599","94.73","96.76","34,078,300"
"03/10/2025","98.57","101.29","95.83","96.63","38,733,190"
"03/07/2025","98.88","100.65","96.39","100.31","33,254,370"
"03/06/2025","99.05","101.08","98.27","98.85","28,984,980"
"03/05/2025","100.36","101.84","98.87","101.67","27,855,490"
"03/04/2025","96","103.18","95.89","100.75","54,156,940"
"03/03/2025","101.515","102.34","97.09","98.23","38,957,990"
"02/28/2025","99.56","101.8","98.69","99.86","45,194,580"
"02/27/2025","105.08","105.76","99.5","99.51","47,263,730"
"02/26/2025","104.945","105.7999","103.99","104.74","29,178,210"
"02/25/2025","107.885","108.64","103.62","103.96","39,169,160"
"02/24/2025","111.49","111.6","107.98","108.11","29,072,210"
"02/21/2025","114.845","115.76","110.43","110.84","41,353,680"
"02/20/2025","115.01","116.55","113.105","114.17","27,219,570"
"02/19/2025","114.245","116.11","113.14","114.69","28,807,710"
"02/18/2025","114.05","115.55","113.45","114.28","31,720,310"
"02/14/2025","112.65","114.63","111.7","113.1","32,477,160"
"02/13/2025","112","114.6","110.4","111.81","40,911,800"
"02/12/2025","109.52","111.8356","109.0649","111.72","25,319,730"
"02/11/2025","108.98","113.07","108.94","111.1","35,033,760"
"02/10/2025","108.44","111.4","108.15","110.48","34,905,360"
"02/07/2025","109.13","109.92","106.79","107.56","46,082,500"
"02/06/2025","110.93","112.56","109.02","110.16","50,426,590"
"02/05/2025","107.61","112.09","106.5","112.01","110,609,300"
"02/04/2025","115.45","119.85","114.79","119.5","69,412,090"
"02/03/2025","113.875","115.16","112.98","114.27","34,586,050"
"01/31/2025","119.14","119.565","115.33","115.95","40,533,570"
"01/30/2025","118.53","120.44","117.09","118.86","29,788,380"
